ProductName,ProductCode,RegularPrice,HappyPrice,Discount,Link,ImageLink
Gembird Standard keyboard,Шифра: 58824,269 Ден.,249 Ден.,-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58824,https://setec.mk/image/cache/catalog/Product/58824_0-228x228.jpg
Meetion K200 USB Keyboard US,Шифра: 16375,249 Ден.,249 Ден.,,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-k200-usb-keyboard-us16375,https://setec.mk/image/cache/catalog/Product/16375_0-228x228.jpg
Gembird Compact multimedia keyboard,Шифра: 58826,289 Ден.,279 Ден.,-3%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58826,https://setec.mk/image/cache/catalog/Product/58826_0-228x228.jpg
Gembird Multimedia keyboard,Шифра: 58827,299 Ден.,279 Ден.,-7%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58827,https://setec.mk/image/cache/catalog/Product/58827_0-228x228.jpg
Meetion K100 Black USB Keyboard US,Шифра: 16378,289 Ден.,279 Ден.,-3%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-k100-black-usb-keyboard-us16378,https://setec.mk/image/cache/catalog/Product/16378_0-228x228.jpg
Gembird Multimedia keyboard,Шифра: 58825,319 Ден.,299 Ден.,-6%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58825,https://setec.mk/image/cache/catalog/Product/58825_0-228x228.jpg
ST LK-401W+LK-202,Шифра: 47690,349 Ден.,349 Ден.,,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/st-lk-401w-lk-20247690,https://setec.mk/image/cache/catalog/Product/47690_0-228x228.jpg
Delux DLK-3100U Slim Multimedia Keyboard,Шифра: 37464,399 Ден.,369 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/delux-dlk-3100u-slim-multimedia-keyboard37464,https://setec.mk/image/cache/catalog/Product/37464_0-228x228.jpg
Gembird Multimedia keyboard with phone stand,Шифра: 58828,399 Ден.,369 Ден.,-8%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури?product_id=58828,https://setec.mk/image/cache/catalog/Product/58828_0-228x228.jpg
Meetion K300 Silent keyboard Black US,Шифра: 16376,399 Ден.,389 Ден.,-3%,https://setec.mk/компјутери-и-it-опрема/компјутерска-галантерија/тастатури/meetion-k300-silent-keyboard-black-us16376,https://setec.mk/image/cache/catalog/Product/16376_0-228x228.jpg
